City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
44,Norman Wells,CA,65.282,-126.8329,-41.66,100,78,2.44,broken clouds,2022-01-04 15:08:10
45,Kashi,CN,39.4547,75.9797,29.23,47,100,2.86,overcast clouds,2022-01-04 15:08:10
46,Chimbote,PE,-9.0853,-78.5783,72.81,74,23,6.64,few clouds,2022-01-04 15:08:11
47,Port Elizabeth,ZA,-33.918,25.5701,77.09,82,100,9.57,overcast clouds,2022-01-04 15:06:34
48,Tuktoyaktuk,CA,69.4541,-133.0374,-26.5,100,100,7.76,overcast clouds,2022-01-04 15:08:12
49,Lakatoro,VU,-16.0999,167.4164,80.49,85,100,10.16,overcast clouds,2022-01-04 15:08:12
50,Mar Del Plata,AR,-38.0023,-57.5575,71.87,70,11,11.99,few clouds,2022-01-04 15:05:20
51,Menongue,AO,-14.6585,17.691,79.43,54,100,5.99,overcast clouds,2022-01-04 15:08:13
52,Aquiraz,BR,-3.9014,-38.3911,87.89,63,100,11.68,overcast clouds,2022-01-04 15:03:58
53,Cidreira,BR,-30.1811,-50.2056,80.91,72,100,2.51,light rain,2022-01-04 15:08:14
54,Irati,BR,-25.4672,-50.6511,73.08,75,99,4.38,overcast clouds,2022-01-04 15:08:15
55,Kalmunai,LK,7.4167,81.8167,76.37,88,39,10.71,scattered clouds,2022-01-04 15:08:15
56,Tonshayevo,RU,57.736,47.0127,-9.44,100,44,4.0,scattered clouds,2022-01-04 15:08:16
57,Kalat,PK,29.0225,66.5916,42.91,89,100,7.74,overcast clouds,2022-01-04 15:08:16
58,Port Alfred,ZA,-33.5906,26.891,71.69,92,97,15.12,light rain,2022-01-04 15:08:16
59,Yellowknife,CA,62.456,-114.3525,-20.7,97,100,7.58,overcast clouds,2022-01-04 15:08:17
60,Abu Kamal,SY,34.4506,40.9171,54.21,54,100,0.63,overcast clouds,2022-01-04 15:08:17
61,Kiunga,PG,-6.1219,141.2906,73.45,100,100,1.77,overcast clouds,2022-01-04 15:08:17
62,Zabaykalsk,RU,49.6333,117.3167,-4.68,88,41,3.76,scattered clouds,2022-01-04 15:08:18
63,Kodiak,US,57.79,-152.4072,21.87,91,100,13.42,light snow,2022-01-04 15:08:18
64,Vysha,RU,53.8477,42.3777,3.7,98,93,3.53,overcast clouds,2022-01-04 15:08:18
65,Chokurdakh,RU,70.6333,147.9167,-44.03,100,43,2.91,scattered clouds,2022-01-04 15:06:35
66,Hamilton,US,39.1834,-84.5333,31.37,82,1,1.01,clear sky,2022-01-04 15:03:35
67,Quatre Cocos,MU,-20.2078,57.7625,80.1,78,73,11.59,broken clouds,2022-01-04 15:08:19
68,Rawson,AR,-43.3002,-65.1023,67.93,31,3,18.9,clear sky,2022-01-04 15:06:52
69,Hobart,AU,-42.8794,147.3294,57.06,89,90,5.75,overcast clouds,2022-01-04 15:08:20
70,Deming,US,32.2687,-107.7586,35.78,74,1,5.75,clear sky,2022-01-04 15:08:20
71,Kapaa,US,22.0752,-159.319,69.78,100,40,0.0,scattered clouds,2022-01-04 15:08:21
72,Outjo,NA,-20.1167,16.15,98.8,9,39,15.5,scattered clouds,2022-01-04 15:08:22
73,Ust-Tsilma,RU,65.441,52.1498,-6.54,93,100,8.01,overcast clouds,2022-01-04 15:08:22
74,Zhangjiakou,CN,40.81,114.8794,19.22,45,0,2.13,clear sky,2022-01-04 15:08:22
