City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Nuuk,GL,2022-01-02 10:10:13,64.1835,-51.7216,23.61,54,75,1.14
214,Kavieng,PG,2022-01-02 10:10:13,-2.5744,150.7967,82.18,78,86,4.9
215,Kosterevo,RU,2022-01-02 10:10:13,55.9299,39.6144,14.14,91,100,9.01
216,Sinnamary,GF,2022-01-02 10:10:14,5.3833,-52.95,76.53,82,34,12.12
217,Broome,US,2022-01-02 10:10:14,42.2506,-75.833,40.19,88,90,4.0
218,San Cristobal,VE,2022-01-02 10:10:14,7.7669,-72.225,66.38,89,93,1.79
219,Solano,US,2022-01-02 10:10:15,38.2333,-121.9511,43.52,85,1,6.91
220,Touros,BR,2022-01-02 10:10:15,-5.1989,-35.4608,81.5,72,50,14.12
221,Tuatapere,NZ,2022-01-02 10:10:15,-46.1333,167.6833,64.81,87,100,2.77
222,Horve,DK,2022-01-02 10:10:16,55.7529,11.453,49.1,97,100,13.06
223,Krasnoselkup,RU,2022-01-02 10:10:16,65.7,82.4667,-1.61,97,100,11.16
224,Along,IN,2022-01-02 10:10:16,28.1667,94.7667,69.49,45,0,0.13
225,Hay River,CA,2022-01-02 10:10:17,60.8156,-115.7999,-3.96,97,100,10.83
226,Norman Wells,CA,2022-01-02 10:10:17,65.282,-126.8329,-25.04,96,100,8.57
227,Muroto,JP,2022-01-02 10:10:17,33.2833,134.15,50.83,62,0,11.48
228,Mount Gambier,AU,2022-01-02 10:11:18,-37.8333,140.7667,57.9,72,0,8.99
229,Bima,ID,2022-01-02 10:11:18,-8.4667,118.7167,80.17,88,100,2.53
230,Ilulissat,GL,2022-01-02 10:11:19,69.2167,-51.1,10.42,48,20,10.36
231,Barcelos,PT,2022-01-02 10:11:19,41.5388,-8.6151,57.92,88,81,3.87
232,North Platte,US,2022-01-02 10:11:19,41.1239,-100.7654,5.81,85,7,7.65
233,Kavaratti,IN,2022-01-02 10:11:20,10.5669,72.642,82.65,73,9,8.97
234,Chalons-En-Champagne,FR,2022-01-02 10:06:21,48.9539,4.3672,54.1,83,100,13.51
235,Chumikan,RU,2022-01-02 10:07:31,54.7183,135.315,-12.23,83,40,17.52
236,Liverpool,GB,2022-01-02 10:09:39,53.4106,-2.9779,51.67,84,40,1.99
237,Mabaruma,GY,2022-01-02 10:11:23,8.2,-59.7833,67.75,86,5,1.99
238,Guerrero Negro,MX,2022-01-02 10:11:23,27.9769,-114.0611,55.63,63,1,2.57
239,Tecoanapa,MX,2022-01-02 10:11:23,16.5167,-98.75,71.96,81,0,5.28
240,Wismar,DE,2022-01-02 10:11:24,53.9,11.4667,53.13,97,100,5.01
241,Biggar,GB,2022-01-02 10:11:24,55.6167,-3.5167,47.23,85,56,16.42
242,Leo,BF,2022-01-02 10:11:24,11.1,-2.1,83.66,12,88,13.31
243,Fort Nelson,CA,2022-01-02 10:11:25,58.8053,-122.7002,-15.68,93,100,9.75
244,Pearl River,US,2022-01-02 10:11:27,41.059,-74.0218,53.29,94,100,1.01
245,Shelburne,CA,2022-01-02 10:09:18,44.0787,-80.2041,21.76,90,100,12.57
246,Tupik,RU,2022-01-02 10:11:27,54.4253,119.9327,-23.13,95,8,3.04
247,Yulara,AU,2022-01-02 10:11:28,-25.2406,130.9889,102.04,10,39,5.75
248,Shaowu,CN,2022-01-02 10:11:28,27.3409,117.4831,52.05,77,34,1.01
249,Arraial Do Cabo,BR,2022-01-02 10:11:29,-22.9661,-42.0278,75.06,88,75,8.05
250,Chokurdakh,RU,2022-01-02 10:11:29,70.6333,147.9167,-24.36,99,100,7.0
251,Verkhnyaya Inta,RU,2022-01-02 10:11:30,65.9811,60.3094,9.5,90,100,8.3
252,Tiksi,RU,2022-01-02 10:11:30,71.6872,128.8694,-31.45,100,66,2.13
253,Kenai,US,2022-01-02 10:11:30,60.5544,-151.2583,8.69,52,20,39.12
254,Hambantota,LK,2022-01-02 10:11:30,6.1241,81.1185,83.98,71,99,16.82
255,Mahebourg,MU,2022-01-02 10:11:31,-20.4081,57.7,84.49,58,40,12.66
256,Torbay,CA,2022-01-02 10:11:31,47.6666,-52.7314,35.58,95,90,14.97
257,Faya,SA,2022-01-02 10:11:32,18.3851,42.4509,57.72,65,61,18.52
258,Puerto Princesa,PH,2022-01-02 10:07:42,9.7392,118.7353,77.59,84,100,14.45
259,Clemencia,CO,2022-01-02 10:11:32,10.5665,-75.325,76.59,80,96,5.91
260,Chuy,UY,2022-01-02 10:11:33,-33.6971,-53.4616,72.3,87,100,4.07
261,Nabire,ID,2022-01-02 10:11:33,-3.3667,135.4833,77.52,91,100,1.3
262,Estelle,US,2022-01-02 10:11:33,29.8458,-90.1067,75.25,85,75,8.05
263,Hobyo,SO,2022-01-02 10:11:34,5.3505,48.5268,83.19,64,0,16.89
264,Trincomalee,LK,2022-01-02 10:11:34,8.5711,81.2335,79.21,83,65,14.9
265,Piopio,NZ,2022-01-02 10:11:35,-38.4667,175.0167,66.43,80,82,1.88
266,Timmins,CA,2022-01-02 10:11:35,48.4669,-81.3331,-18.81,100,82,2.53
267,Taoudenni,ML,2022-01-02 10:11:35,22.6783,-3.9836,71.24,27,0,12.12
268,Maku,IR,2022-01-02 10:12:36,39.2911,44.4521,32.97,68,48,0.22
269,Nasturelu,RO,2022-01-02 10:12:36,43.6667,25.4667,54.36,75,8,4.36
270,Bratsk,RU,2022-01-02 10:07:46,56.1325,101.6142,-1.66,96,100,3.15
271,Strezhevoy,RU,2022-01-02 10:12:36,60.7333,77.5889,12.18,95,100,7.02
272,Champerico,GT,2022-01-02 10:12:37,14.3,-91.9167,76.03,82,59,8.14
273,Provideniya,RU,2022-01-02 10:12:17,64.3833,-173.3,8.2,97,100,4.27
274,Korla,CN,2022-01-02 10:11:04,41.7597,86.1469,27.21,46,34,0.69
275,Quatre Cocos,MU,2022-01-02 10:12:38,-20.2078,57.7625,84.31,60,78,11.32
276,Sorland,NO,2022-01-02 10:12:39,67.667,12.6934,30.92,95,100,31.94
277,Simao,CN,2022-01-02 10:12:39,22.7886,100.9748,60.73,83,77,3.04
278,Baruun-Urt,MN,2022-01-02 10:12:40,46.6806,113.2792,-3.05,88,10,4.83
279,Mae Sot,TH,2022-01-02 10:12:40,16.7167,98.5667,84.06,41,1,8.59
280,Bambous Virieux,MU,2022-01-02 10:12:40,-20.3428,57.7575,84.45,58,40,12.66
281,Baley,RU,2022-01-02 10:12:41,51.6,116.6333,-13.31,100,92,3.13
282,Bowen,AU,2022-01-02 10:12:41,-20.0167,148.2333,82.58,78,53,9.86
283,Sabang,ID,2022-01-02 10:12:41,5.8933,95.3214,80.46,77,100,19.95
284,Baoshan,CN,2022-01-02 10:12:42,46.5586,131.4244,0.7,83,43,14.03
285,Mayo,US,2022-01-02 10:12:42,38.8876,-76.5119,60.17,96,100,3.0
286,Sitges,ES,2022-01-02 10:08:56,41.2351,1.8119,66.33,59,44,3.0
287,Kununurra,AU,2022-01-02 10:12:43,-15.7667,128.7333,94.98,52,100,10.36
288,Cap Malheureux,MU,2022-01-02 10:12:43,-19.9842,57.6142,84.69,60,68,8.99
289,Jieshou,CN,2022-01-02 10:12:44,33.2634,115.3611,47.07,34,100,6.82
290,Nianzishan,CN,2022-01-02 10:10:41,47.5167,122.8833,2.16,57,2,8.05
291,Lowestoft,GB,2022-01-02 10:08:21,52.4752,1.7516,56.16,86,75,20.78
292,Macas,EC,2022-01-02 10:09:33,-2.3167,-78.1167,68.29,95,94,2.37
293,Terra Santa,BR,2022-01-02 10:12:45,-2.1042,-56.4869,71.04,99,53,1.74
294,Buin,CL,2022-01-02 10:12:45,-33.7333,-70.75,66.74,58,2,0.43
